CD;Pto Op;Tienda;Formato;Region Geografica;Zona Geografica;CALENDARIZADO;DIA DE ENTREGA
Malvinas;748;Proxi Malabia 468;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;754;Proxi Gral Las Heras 3315;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;755;C.Tribulato 1279 (San Miguel);Express;CABA Y GBA;GBA;LXJV;LMJV
Malvinas;759;MINI - J R VELASCO 745;Express;CABA Y GBA;Capital Federal;MJV;XVS
Malvinas;762;Sarachaga 780/82;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;764;Av. San Lorenzo 480/84;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;765;Buenos Aires 65;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;766;27 de Abril 458;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;767;24 DE SEPT. 1500;Express;CENTRO;C¢rdoba;LJ;XS
Malvinas;768;INDEPENDENCIA 855;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;769;San Martin 625;Express;CENTRO;C¢rdoba;LXJ;MVS
Malvinas;770;Ituzaingo 7514;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;771;Santa Fe 723;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;772;Lavalleja 49;Express;CENTRO;C¢rdoba;LJ;XS
Malvinas;775;ANGEL GALLARDO 499;Express;CABA Y GBA;Capital Federal;LXS;LMJ
Malvinas;776;MINI - ILLIA 490;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;777;Bucarelli 1980;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;778;Bulnes 758;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;780;Av. Corriente 5573;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;781;Gabriel Mistral 3153;Express;CABA Y GBA;Capital Federal;LXV;LMJ
Malvinas;782;Zapiola 2215;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;783;Cabildo 1287;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;784;BEDOYA 695;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;785;SAN JUAN 217;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;786;LIMA 987;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;787;ALVEAR 2446;Express;CABA Y GBA;GBA;LMJ;MXV
Malvinas;788;MANSILLA 3620;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;789;DUARTE Q. 1851;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;790;Ituzaingo 911;Express;CENTRO;C¢rdoba;XV;MV
Malvinas;791;BEIRO 3342;Express;CABA Y GBA;Capital Federal;LJ;MV
Malvinas;793;SAN JUAN 835;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;794;M. FRAGUEIRO 2220;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;795;GUATEMALA 4540;Express;CABA Y GBA;Capital Federal;LJ;MV
Malvinas;797;Nogoy  2744;Express;CABA Y GBA;Capital Federal;LJ;MV
Malvinas;798;Franklin D.ÿRoosevelt 2268;Express;CABA Y GBA;Capital Federal;LJ;MV
Malvinas;799;Soler 5748;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;802;Artigas 4925;Express;CABA Y GBA;GBA;LMJ;MXV
Malvinas;805;Medrano 414;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;806;J de Altolaguirre 2222ÿ;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;807;Av. Capdevila 264;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;808;Av constituyentes 4081/83;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;809;Jose antonio Cabrera 3291/3295/3299;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;810;Avenida Col¢nÿ1750 (C¢rdoba);Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;811;Avenida Alvarez Thomas 1002;Express;CABA Y GBA;Capital Federal;LXV;LMJ
Malvinas;813;COLON 1088;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;814;MINI - SAN JERONIMO 3034 (814);Express;CENTRO;C¢rdoba;XV;MV
Malvinas;816;MINI - CONSTITUYENTE 6209 (816);Express;CABA Y GBA;Capital Federal;LXJ;MJV
Malvinas;817;MINI - DUARTE Q. 2400 (817);Express;CENTRO;C¢rdoba;XV;MV
Malvinas;818;MINI - VELEZ SARFIELD 1045;Express;CENTRO;C¢rdoba;XV;MV
Malvinas;819;MINI - Av.Cabildo 3955;Express;CABA Y GBA;Capital Federal;LMJ;MXV
Malvinas;820;MINI - Av.Castro Barros 359;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;821;MINI - SANTA FE 49 (821);Express;CENTRO;C¢rdoba;XV;MV
Malvinas;824;MINI - AV. SAN MARTIN 940;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;825;MINI - BV. SARMIENTO 825;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;826;MINI - AV F BEIRO 5418;Express;CABA Y GBA;Capital Federal;LXV;LMJ
Malvinas;827;MINI - JUAN B JUSTO 3695;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;828;MINI - AV F LACROZE 1735;Express;CABA Y GBA;Capital Federal;LMJ;MXV
Malvinas;829;MINI - ARRIBENOS 2862;Express;CABA Y GBA;Capital Federal;MJV;XVS
Malvinas;830;MINI - SAN MARTIN 2601;Express;CABA Y GBA;GBA;MJS;LXV
Malvinas;831;MINI - AV MAIPU 518 (831);Express;CABA Y GBA;GBA;MJS;LXV
Malvinas;837;MINI - NUNEZ 3802;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;838;MINI - SOLER 4072;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;840;MINI - Donato Alvarez 194;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;844;MINI - NAZARET 2950;Express;CENTRO;C¢rdoba;XV;MV
Malvinas;845;MINI - Diaz Colodrero 3187;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;846;MINI - SANTIAGO TEMPLE 212 (846);Express;CENTRO;C¢rdoba;XV;MV
Malvinas;847;MINI - AV. EDEN 499;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;848;MINI - AV ELCANO 4200;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;849;MINI - AV MONROE 5771;Express;CABA Y GBA;Capital Federal;XV;JS
Malvinas;850;MINI - DEHEZA 2845;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;852;MINI - SAENZ PENA 130 CBA;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;853;MINI - AV COLON 636 CBA;Express;CENTRO;C¢rdoba;MJ;JS
